"id","country_id","fa_name","en_name","created_at","updated_at"
"1","1","اصفهان",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"2","1","سمنان",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"3","1","آذربایجان شرقی",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"4","1","بوشهر",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"5","1","گیلان",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"6","1","خراسان جنوبی",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"7","1","خراسان رضوی",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"8","1","مازندران",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"9","1","خوزستان",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"10","1","لرستان",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"11","1","البرز",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"12","1","گلستان",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"13","1","همدان",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"14","1","فارس",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"15","1","یزد",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"16","1","کهگیلویه و بویراحمد",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"17","1","مرکزی",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"18","1","تهران","Tehran","2026-02-21 15:29:48","2026-02-21 15:29:48"
"19","1","زنجان",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"20","1","ایلام",NULL,"2026-02-21 15:29:48","2026-02-21 15:29:48"
"21","1","کرمانشاه",NULL,"2026-02-21 15:29:49","2026-02-21 15:29:49"
"22","1","چهارمحال و بختیاری",NULL,"2026-02-21 15:29:49","2026-02-21 15:29:49"
"23","1","هرمزگان",NULL,"2026-02-21 15:29:49","2026-02-21 15:29:49"
"24","1","اردبیل",NULL,"2026-02-21 15:29:49","2026-02-21 15:29:49"
"25","1","سیستان و بلوچستان",NULL,"2026-02-21 15:29:49","2026-02-21 15:29:49"
"26","1","کرمان",NULL,"2026-02-21 15:29:49","2026-02-21 15:29:49"
"27","1","قم",NULL,"2026-02-21 15:29:49","2026-02-21 15:29:49"
"28","1","آذربایجان غربی",NULL,"2026-02-21 15:29:49","2026-02-21 15:29:49"
"29","1","قزوین",NULL,"2026-02-21 15:29:49","2026-02-21 15:29:49"
"30","1","کردستان",NULL,"2026-02-21 15:29:49","2026-02-21 15:29:49"
"31","1","خراسان شمالی",NULL,"2026-02-21 15:29:49","2026-02-21 15:29:49"
"32","2","کربلا",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"33","2","نجف",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"34","3","استانبول",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"35","3","وان",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"36","3","آنتالیا",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"37","3","آنکارا",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"38","3","ازمیر",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"39","3","قونیه",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"40","3","آیدین",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"41","4","دبی",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"42","5","بانکوک",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"43","5","پاتایا",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"44","5","پوکت",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"45","6","باتومی",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"46","6","تفلیس",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"47","7","ایروان",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"48","8","باکو",NULL,"2026-02-21 15:29:51","2026-02-21 15:29:51"
"49","9","مسقط","Muscat","2026-02-21 15:29:51","2026-02-21 15:29:51"
"50","2","بغداد","Baghdad","2026-02-21 15:29:51","2026-02-21 15:29:51"
"51","10","پکن","Beijing","2026-02-21 15:29:51","2026-02-21 15:29:51"
"52","10","شانگهای","Shanghai","2026-02-21 15:29:51","2026-02-21 15:29:51"
"53","10","گوانگ‌دونگ","Guangdong","2026-02-21 15:29:51","2026-02-21 15:29:51"
"54","11","قندهار","Kandahar","2026-02-21 15:29:51","2026-02-21 15:29:51"
"55","11","کابل","Kabul","2026-02-21 15:29:51","2026-02-21 15:29:51"
"56","11","بلخ","Balkh","2026-02-21 15:29:51","2026-02-21 15:29:51"
